id,name,address1,address2,city,zip_code,review_count,categories,rating,price
7b5c3361fb,Dancing Yak,280 Valencia St, , San Francisco,94103,20,"Asian, Himalayan, Indian, Nepalese, Group",5,$
7b6dc18e7a,Raj Indian Cuisine,4086 Piedmont Ave, , San Francisco,94611,11,"Indian, Vegetarian, Asian, Healthy",5,$
7e096edf2e,supremo pasta,87 6th, , San Francisco,94103,new,"Italian, Pasta, Comfort",0,$
7e2301984b,Chaat House,1373 Solano Ave, , San Francisco,94706,new,"Indian, Vegetarian, Asian, Healthy",0,$
7e7a8cba1a,King of Noodles,1639 Irving St, , San Francisco,94122,16,Black,5,$
7ebd64e635,Spice of America,1655 Market St, , San Francisco,94103,new,"Indian, Nepalese, Halal",0,$
7f4c3c9353,Rasoi Restaurant & Lounge,1425 Burlingame Ave, , San Francisco,94010,23,"Indian, Vegetarian, Asian, Healthy",5,$
8147cffe57,Sun and Moon,415 Brannan St, , San Francisco,94107,15,Thai,5,$
8197332f20,Nobhill Pizza & Shawarma,1534 California St, , San Francisco,94109,16,"Pizza, Desserts, Middle",4,$
83b4fd9814,Flying Pig Bistro,433 S Van Ness Ave, , San Francisco,94103,new,"Sandwiches, Burgers, American, Salads, Affordable",0,$
84172b84c6,Happy Shabu Shabu,1401 Fillmore Street, , San Francisco,94115,new,"Japanese, Asian, Sushi, Alcohol",0,$
86f36dc81d,Peasant Pies - Mission Bay,550 Gene Friend Way, , San Francisco,94158,11,"American, Comfort",5,$
8a21f0d0ea,Shooting Star Cafe,1022 Webster St, , San Francisco,94607,99,"Asian, Seafood, Desserts, Chinese, Family",5,$
8a3c16fd70,apizza,2043 Fillmore Street, , San Francisco,94115,16,"Pizza, American, Italian",5,$
8ab99f6655,Chutney,511 Jones St, , San Francisco,94102,46,"Pakistani, Indian, Halal",5,$
8baa3003fb,Limon - Van Ness,1001 S Van Ness Ave, , San Francisco,94110,74,Latin,5,$
8c1edb6f79,Barbara Pinseria & Cocktail Bar,431 Columbus Avenue, , San Francisco,94133,new,"Italian, Pasta, Pizza, Desserts",0,$
8c576cc21d,Naan 'n' Curry - Serramonte,80 Serramonte Boulevard, , San Francisco,94015,23,"Indian, Kebab, Pakistani",4,$
8d431aeda1,Panda Express (3rd St & Evans Ave),3801 3rd Street, #300, San Francisco,94124,100+,"Chinese, Asian, Group",0,$
8ed38f1d40,Joyful Kitchen,1919 Ocean Ave, , San Francisco,94127,41,"Chinese, Noodles, Family",5,$
8f6b67e189,Healthyish Republic,2990 24th Street, , San Francisco,94110,22,"Vegan, Vegetarian, Healthy, Salads, Burgers, Gluten",5,$
8f964bd5f3,Krispy Krunchy Chicken (Downtown),177 Eddy Street, , San Francisco,94102,66,"American, Chicken, Desserts, Family",4,$
91358e701d,Tadu Ethiopian Kitchen,1120-30 4th St, , San Francisco,94158,65,Breakfast,5,$
91d6931b12,New Thai Elephant Fisherman Wharf,393 Bay, , San Francisco,94133,41,"Thai, Asian, Noodles, Vegan",5,$
9221b1986c,V & J Café Chinese Restaurant,670 Broadway, , San Francisco,94133,14,"Chinese, Asian",5,$
923aa8d7e9,Wok Station,2154 Irving St, , San Francisco,94122,100+,"Chinese, Asian, Rice",0,$
92857349dd,Dirty Little Vegan (2353 E 12th St),2353 E 12th St, , San Francisco,94601,new,"American, Vegan, Healthy",0,$
94d61a054d,Lime Tree Southeast Asian Kitchen,450 Irving St, , San Francisco,94122,11,"Asian, Asian",5,$
95196c1bc3,The Cove on Castro,434 Castro Street, , San Francisco,94114,new,Coffee,0,$
96bb7fe57a,Sumac by GastrobotEats,1096 Union St, , San Francisco,94133,100+,"Mediterranean, Vegetarian, Healthy, Group",0,$
96cc76970c,Comal Next Door (Berkeley),2024 Shattuck Ave, , San Francisco,94704,100+,"Mexican, Latin",0,$
9712782d80,Raavi,533 Jackson Street, , San Francisco,94108,72,"Indian, Vegan",5,$
97bace02d7,Ben's Fast Food,66 21st Avenue, , San Francisco,94403,25,"Healthy, Family",5,$
98b3cad73a,Gioia Pizzeria,579 Hayes St, , San Francisco,94102,100+,"Pizza, American, Italian, Family",0,$
99369e985c,Mission Curry House,2434 Mission St, , San Francisco,94110,95,"Indian, Vegetarian, Asian, Alcohol, Healthy, Group",5,$
9a29717c77,Mi Yucatan,2845 Mission St, , San Francisco,94110,12,Latin,5,$
9bd2c85acc,Gyros And Tzatziki,3111 24th Street, , San Francisco,94110,100+,"Mediterranean, Vegetarian, Wraps, Greek, Healthy, Vegan",0,$
9cb59d83ac,The Melt - 925 Market,925 Market St, , San Francisco,94103,100+,"American, Burgers, Chicken, Sandwich, American, Gluten",0,$
9dffad695c,Café Mystique,464 Castro St, , San Francisco,94114,14,"American, Mediterranean",5,$
9e912cf2c8,Delhi Diner - Albany,1373 Solano Ave, , San Francisco,94706,31,"Indian, Family",4,$
9ea5d7cbc7,Halal Lamb Gyro Spot,826 Van Ness Ave, , San Francisco,94109,new,Middle,0,$
